
#68.0016
#Jusqu’en 1974, l’usine PCUK (produits chimiques Ugine Kuhlmann) installée à Huningue (Haut‑Rhin), a produit un pesticide, le lindane ou γ HCH.
1	Jusqu’	jusqu’	BT	_
21	quantités	quantité	O	_
22	importantes	important	O	_
23	.	.	O	_


#L’exposition à ces polluants, qui se présentent sous forme de poudre blanche, se fait par ingestion (eau ou poussières) ou inhalation selon les isomères.
1	L’	l’	O	_
2	exposition	exposition	O	_
3	à	à	O	_
4	ces	ce	O	_
5	polluants	polluant	O	_
6	,	,	O	_
7	qui	qui	O	_
8	se	se	O	_
9	présentent	présenter	O	_
10	sous	sous	O	_
11	forme	forme	O	_
12	de	de	O	_
13	poudre	poudre	O	_
14	blanche	blanc	O	_
15	,	,	O	_
16	se	se	O	_
17	fait	faire	O	_
18	par	par	O	_
19	ingestion	ingestion	O	_
20	(	(	O	_
21	eau	eau	O	_
22	ou	ou	O	_
23	poussières	poussière	O	_
24	)	)	O	_
25	ou	ou	O	_
26	inhalation	inhalation	O	_
27	selon	selon	O	_
28	les	le	O	_
29	isomères	isomère	O	_
30	.	.	O	_


#Entre 1965 et 1970, la presque totalité des résidus de fabrication de lindane a été déchargée en vrac ou en fûts dans plusieurs gravières transformées en décharge situées sur les communes de Sierentz, Wintzenheim, Huningue dans le Haut-Rhin et Hochfelden, unique site dans le Bas-Rhin.
1	Entre	entre	BT	_
2	1965	1965	IT	_
3	et	et	IT	_
4	1970	1970	ET	_
5	,	,	ET	_
6	la	le	O	_
7	presque	presque	O	_
8	totalité	totalité	O	_
9	des	de	O	_
10	résidus	résidu	O	_
11	de	de	O	_
12	fabrication	fabrication	BA	_
13	de	de	IA	_
14	lindane	lindane	EO	_
15	a	avoir	BN	_
16	été	être	IN	_
17	déchargée	décharger	EN	_
18	en	en	O	_
19	vrac	vrac	O	_
20	ou	ou	O	_
21	en	en	O	_
22	fûts	fût	O	_
23	dans	dans	O	_
24	plusieurs	plusieurs	BO	_
25	gravières	gravière	BO	_
26	transformées	transformer	BN	_
27	en	en	IN	_
28	décharge	décharge	EN	_
29	situées	situer	BL	_
30	sur	sur	IL	_
31	les	le	IL	_
32	communes	commune	IL	_
33	de	de	IL	_
34	Sierentz	Sierentz	EL	_
35	,	,	IL	_
36	Wintzenheim	Wintzenheim	IL	_
37	,	,	IL	_
38	Huningue	Huningue	BL	_
39	dans	dans	IL	_
40	le	le	IL	_
41	Haut-Rhin	Haut-Rhin	IL	_
42	et	et	O	_
43	Hochfelden	Hochfelden	EL	_
44	,	,	O	_
45	unique	unique	O	_
46	site	site	O	_
47	dans	dans	BL	_
48	le	le	IL	_
49	Bas-Rhin	Bas-Rhin	IA	_
50	.	.	O	_


#Si la société PCUK a cessé son activité en 1974, elle a néanmoins participé à la sécurisation des sites susmentionnés en 1985 en procédant au confinement (partiel) des sources de pollution.
1	Si	si	O	_
2	la	le	BO	_
3	société	société	IO	_
4	PCUK	PCUK	EO	_
5	a	avoir	BN	_
6	cessé	cesser	IN	_
7	son	son	IN	_
8	activité	activité	EN	_
9	en	en	BT	_
10	1974	1974	ET	_
11	,	,	O	_
12	elle	lui	O	_
13	a	avoir	BN	_
14	néanmoins	néanmoins	IN	_
15	participé	participer	EN	_
16	à	à	ER	_
17	la	le	BN	_
18	sécurisation	sécurisation	BN	_
19	des	de	IN	_
20	sites	site	EN	_
21	susmentionnés	susmentionner	BT	_
22	en	en	BT	_
23	1985	1985	ET	_
24	en	en	BR	_
25	procédant	procéder	ER	_
26	au	au	IN	_
27	confinement	confinement	BN	_
28	(	(	IN	_
29	partiel	partiel	EN	_
30	)	)	O	_
31	des	de	O	_
32	sources	source	O	_
33	de	de	O	_
34	pollution	pollution	O	_
35	.	.	O	_


#Depuis le 23 décembre 1996, la société PCUK a été mise en liquidation et le suivi de ces sites, dits orphelins, a été pris en charge par l’État, la maîtrise d’œuvre étant assurée par l’Agence de l’Environnement et de la Maîtrise de l’Energie (ADEME).
1	Depuis	depuis	BT	_
2	le	le	IT	_
3	23	23	IT	_
4	décembre	décembre	IT	_
5	1996	1996	ET	_
6	,	,	ET	_
7	la	le	BO	_
8	société	société	IO	_
9	PCUK	PCUK	EO	_
10	a	avoir	BN	_
11	été	être	IN	_
12	mise	mettre	IN	_
13	en	en	IN	_
14	liquidation	liquidation	EN	_
15	et	et	O	_
16	le	le	BO	_
17	suivi	suivi	BO	_
18	de	de	BO	_
19	ces	ce	BO	_
20	sites	site	EO	_
21	,	,	O	_
22	dits	dire	O	_
23	orphelins	orphelin	O	_
24	,	,	O	_
25	a	avoir	BN	_
26	été	être	IN	_
27	pris	prendre	IN	_
28	en	en	IN	_
29	charge	charge	EN	_
30	par	par	O	_
31	l’	l’	BO	_
32	État	état	BO	_
33	,	,	O	_
34	la	le	BO	_
35	maîtrise	maîtrise	BO	_
36	d’	d’	IO	_
37	œuvre	œuvre	EO	_
38	étant	être	O	_
39	assurée	assurer	O	_
40	par	par	O	_
41	l’	l’	BO	_
42	Agence	agence	IO	_
43	de	de	IO	_
44	l’	l’	IO	_
45	Environnement	environnement	EO	_
46	et	et	O	_
47	de	de	O	_
48	la	le	O	_
49	Maîtrise	maîtrise	O	_
50	de	de	O	_
51	l’	l’	O	_
52	Energie	energie	O	_
53	(	(	O	_
54	ADEME	ADEME	O	_
55	)	)	O	_
56	.	.	O	_


#Les résidus de fabrication de HCH ont été déchargés dans l’ancienne gravière « Brunner » à Sierentz.
1	Les	le	BO	_
2	résidus	résidu	BO	_
3	de	de	IO	_
4	fabrication	fabrication	IO	_
5	de	de	IO	_
6	HCH	HCH	EO	_
7	ont	avoir	BN	_
8	été	être	IN	_
9	déchargés	décharger	EN	_
10	dans	dans	BL	_
11	l’	l’	IL	_
12	ancienne	ancien	IL	_
13	gravière	gravière	IL	_
14	«	«	IL	_
15	 	 	IL	_
16	Brunner	Brunner	IL	_
17	 	 	IL	_
18	»	»	EL	_
19	à	à	EL	_
20	Sierentz	Sierentz	EL	_
21	.	.	O	_


#Des travaux de confinement avaient été prescrits à la société PCUK par arrêtés préfectoraux du 13 mars 1986 et du 9 février 1987.
1	Des	un	BN	_
2	travaux	travail	IN	_
3	de	de	IN	_
4	confinement	confinement	EN	_
5	avaient	avoir	BN	_
6	été	être	IN	_
7	prescrits	prescrire	EN	_
8	à	à	O	_
9	la	le	BO	_
10	société	société	IO	_
11	PCUK	PCUK	EO	_
12	par	par	O	_
13	arrêtés	arrêté	BO	_
14	préfectoraux	préfectoral	EO	_
15	du	de	BT	_
16	13	13	IT	_
17	mars	mars	IT	_
18	1986	1986	ET	_
19	et	et	ET	_
20	du	de	IT	_
21	9	9	IT	_
22	février	février	IT	_
23	1987	1987	ET	_
24	.	.	ET	_


#Ils ont consisté en la réalisation d’une capsule en argile compactée.
1	Ils	il	O	_
2	ont	avoir	O	_
3	consisté	consister	O	_
4	en	en	O	_
5	la	le	BN	_
6	réalisation	réalisation	EN	_
7	d’	d’	O	_
8	une	un	O	_
9	capsule	capsule	O	_
10	en	en	O	_
11	argile	argile	O	_
12	compactée	compacter	O	_
13	.	.	O	_


#Une surveillance piézométrique a été prescrite, ainsi qu’un entretien régulier du site (débroussaillage) afin de préserver l’étanchéité de la capsule.
1	Une	un	BO	_
2	surveillance	surveillance	BO	_
3	piézométrique	piézométrique	EO	_
4	a	avoir	BN	_
5	été	être	IN	_
6	prescrite	prescrire	EN	_
7	,	,	O	_
8	ainsi	ainsi	O	_
9	qu’	qu’	ER	_
10	un	un	BO	_
11	entretien	entretien	IO	_
12	régulier	régulier	IO	_
13	du	de	IO	_
14	site	site	EO	_
15	(	(	O	_
16	débroussaillage	débroussaillage	EN	_
17	)	)	O	_
18	afin	afin	O	_
19	de	de	O	_
20	préserver	préserver	O	_
21	l’	l’	O	_
22	étanchéité	étanchéité	O	_
23	de	de	O	_
24	la	le	O	_
25	capsule	capsule	O	_
26	.	.	O	_


#Un suivi de la qualité des eaux souterraines et un entretien régulier du site est assuré par l'ADEME depuis 2000 sur fonds publics.
1	Un	un	BA	_
2	suivi	suivi	IA	_
3	de	de	IA	_
4	la	le	IA	_
5	qualité	qualité	IA	_
6	des	de	IA	_
7	eaux	eau	IA	_
8	souterraines	souterrain	EA	_
9	et	et	O	_
10	un	un	BN	_
11	entretien	entretien	IN	_
12	régulier	régulier	EN	_
13	du	de	O	_
14	site	site	BO	_
15	est	être	O	_
16	assuré	assurer	O	_
17	par	par	O	_
18	l'	le	BO	_
19	ADEME	ADEME	EO	_
20	depuis	depuis	BT	_
21	2000	2000	ET	_
22	sur	sur	O	_
23	fonds	fonds	O	_
24	publics	public	O	_
25	.	.	O	_


#Ces travaux sont encadrés par arrêtés préfectoraux.
1	Ces	ce	O	_
2	travaux	travail	O	_
3	sont	être	O	_
4	encadrés	encadrer	O	_
5	par	par	O	_
6	arrêtés	arrêté	BO	_
7	préfectoraux	préfectoral	EO	_
8	.	.	O	_


#Le suivi montre une stabilité des teneurs, avec un impact sur les eaux souterraines en aval immédiat de la capsule.
1	Le	le	BN	_
2	suivi	suivi	EN	_
3	montre	montre	O	_
4	une	un	O	_
5	stabilité	stabilité	O	_
6	des	de	O	_
7	teneurs	teneur	O	_
8	,	,	O	_
9	avec	avec	O	_
10	un	un	O	_
11	impact	impact	O	_
12	sur	sur	O	_
13	les	le	O	_
14	eaux	eau	O	_
15	souterraines	souterrain	O	_
16	en	en	O	_
17	aval	aval	IL	_
18	immédiat	immédiat	IL	_
19	de	de	IL	_
20	la	le	BO	_
21	capsule	capsule	EO	_
22	.	.	O	_


#Le site est situé en aval de la ville ; aucun impact sur les populations et les captages AEP n’a été décelé.
1	Le	le	BO	_
2	site	site	EO	_
3	est	être	BL	_
4	situé	situer	IL	_
5	en	en	IL	_
6	aval	aval	IL	_
7	de	de	IL	_
8	la	le	IL	_
9	ville	ville	EL	_
10	;	;	O	_
11	aucun	aucun	BO	_
12	impact	impact	EO	_
13	sur	sur	O	_
14	les	le	O	_
15	populations	population	O	_
16	et	et	O	_
17	les	le	O	_
18	captages	captage	BO	_
19	AEP	aep	EA	_
20	n’	n’	O	_
21	a	avoir	O	_
22	été	être	O	_
23	décelé	déceler	EN	_
24	.	.	O	_


#Le suivi de la qualité des eaux souterraines et un entretien régulier du site pour maintenir en bon état la couche d'imperméabilisation du site, restent néanmoins nécessaires.
1	Le	le	BA	_
2	suivi	suivi	IA	_
3	de	de	IA	_
4	la	le	IA	_
5	qualité	qualité	IA	_
6	des	de	IA	_
7	eaux	eau	IA	_
8	souterraines	souterrain	EA	_
9	et	et	O	_
10	un	un	BO	_
11	entretien	entretien	IO	_
12	régulier	régulier	EO	_
13	du	de	O	_
14	site	site	BO	_
15	pour	pour	O	_
16	maintenir	maintenir	O	_
17	en	en	O	_
18	bon	bon	O	_
19	état	état	O	_
20	la	le	O	_
21	couche	couche	O	_
22	d'	de	O	_
23	imperméabilisation	imperméabilisation	EN	_
24	du	de	O	_
25	site	site	O	_
26	,	,	O	_
27	restent	rester	O	_
28	néanmoins	néanmoins	O	_
29	nécessaires	nécessaire	O	_
30	.	.	O	_


#67.0191
#L'arrêté préfectoral (AP) du 24 juin 1998 autorise la société ALSAPAN à exploiter, en régularisation administrative, des installations de fabrications de revêtements de sols mélaminés.
1	L'	le	BO	_
2	arrêté	arrêté	IO	_
3	préfectoral	préfectoral	EO	_
4	(	(	O	_
5	AP	ap	O	_
6	)	)	O	_
7	du	de	O	_
8	24	24	BT	_
9	juin	juin	IT	_
10	1998	1998	ET	_
11	autorise	autorise	BN	_
12	la	le	BO	_
13	société	société	IO	_
14	ALSAPAN	ALSAPAN	EO	_
15	à	à	O	_
16	exploiter	exploiter	EN	_
17	,	,	O	_
18	en	en	O	_
19	régularisation	régularisation	BN	_
20	administrative	administratif	EN	_
21	,	,	O	_
22	des	un	BO	_
23	installations	installation	EO	_
24	de	de	IA	_
25	fabrications	fabrication	IA	_
26	de	de	IA	_
27	revêtements	revêtement	IA	_
28	de	de	IA	_
29	sols	sol	EA	_
30	mélaminés	mélaminé	EA	_
31	.	.	O	_


#Ses principales activités concernent : le travail du bois et des matériaux combustibles analogues, combustion application et cuisson/séchage de vernis, peinture, colle... ; transformation de matières plastiques, dépôt de papiers cartons, bois sec et matériaux combustibles analogues.
1	Ses	son	O	_
2	principales	principal	O	_
3	activités	activité	O	_
4	concernent	concerner	O	_
5	:	:	O	_
6	le	le	BA	_
7	travail	travail	BA	_
8	du	de	IA	_
9	bois	bois	IA	_
10	et	et	IA	_
11	des	de	IA	_
12	matériaux	matériau	IA	_
13	combustibles	combustible	O	_
14	analogues	analogue	O	_
15	,	,	O	_
16	combustion	combustion	BA	_
17	application	application	IA	_
18	et	et	IA	_
19	cuisson	cuisson	IA	_
20	/	/	IA	_
21	séchage	séchage	IA	_
22	de	de	IA	_
23	vernis	vernis	EA	_
24	,	,	O	_
25	peinture	peinture	O	_
26	,	,	O	_
27	colle	colle	O	_
28	...	...	O	_
29	;	;	O	_
30	transformation	transformation	BA	_
31	de	de	IA	_
32	matières	matière	IA	_
33	plastiques	plastique	EA	_
34	,	,	O	_
35	dépôt	dépôt	BA	_
36	de	de	IA	_
37	papiers	papier	IA	_
38	cartons	carton	EA	_
39	,	,	O	_
40	bois	bois	O	_
41	sec	sec	O	_
42	et	et	O	_
43	matériaux	matériau	O	_
44	combustibles	combustible	O	_
45	analogues	analogue	O	_
46	.	.	O	_


#L'AP du 24 juin 1998 prescrit une surveillance de la qualité des eaux souterraines sur le site de la société.
1	L'	le	BO	_
2	AP	ap	EO	_
3	du	de	O	_
4	24	24	BT	_
5	juin	juin	IT	_
6	1998	1998	ET	_
7	prescrit	prescrire	ET	_
8	une	un	BA	_
9	surveillance	surveillance	IA	_
10	de	de	IA	_
11	la	le	IA	_
12	qualité	qualité	IA	_
13	des	de	IA	_
14	eaux	eau	IA	_
15	souterraines	souterrain	EA	_
16	sur	sur	O	_
17	le	le	O	_
18	site	site	O	_
19	de	de	O	_
20	la	le	BO	_
21	société	société	EO	_
22	.	.	O	_


#Ce contrôle pourra être effectué sur le puits existant situé en aval du site et sur deux piézomètres implantés en aval du site.
1	Ce	ce	BN	_
2	contrôle	contrôle	EN	_
3	pourra	pouvoir	O	_
4	être	être	O	_
5	effectué	effectuer	O	_
6	sur	sur	O	_
7	le	le	BO	_
8	puits	puits	IO	_
9	existant	existant	EO	_
10	situé	situer	BL	_
11	en	en	IL	_
12	aval	aval	IL	_
13	du	de	IL	_
14	site	site	EL	_
15	et	et	O	_
16	sur	sur	O	_
17	deux	deux	O	_
18	piézomètres	piézomètre	O	_
19	implantés	implanter	O	_
20	en	en	BL	_
21	aval	aval	IL	_
22	du	de	IL	_
23	site	site	EL	_
24	.	.	O	_


#Les contrôles seront au moins annuels et porteront sur les paramètres pH, conductivité, Hydrocarbures totaux.
1	Les	le	BN	_
2	contrôles	contrôle	EN	_
3	seront	être	O	_
4	au	au	O	_
5	moins	moins	O	_
6	annuels	annuel	O	_
7	et	et	O	_
8	porteront	porter	O	_
9	sur	sur	O	_
10	les	le	O	_
11	paramètres	paramètre	O	_
12	pH	ph	O	_
13	,	,	O	_
14	conductivité	conductivité	O	_
15	,	,	O	_
16	Hydrocarbures	hydrocarbure	O	_
17	totaux	total	O	_
18	.	.	O	_


#Les résultats d'analyses des eaux souterraines réalisées le 17/09/2013, au droit des trois points de contrôles du site, n'ont révélés aucuns dépassements des seuils de quantification pour les paramètres recherchés.
1	Les	le	O	_
2	résultats	résultat	O	_
3	d'	de	O	_
4	analyses	analyse	O	_
5	des	de	O	_
6	eaux	eau	O	_
7	souterraines	souterrain	O	_
8	réalisées	réaliser	BN	_
9	le	le	BT	_
10	17/09/2013	17/09/2013	IT	_
11	,	,	O	_
12	au	au	BL	_
13	droit	droit	IL	_
14	des	de	IL	_
15	trois	trois	BO	_
16	points	point	IO	_
17	de	de	IO	_
18	contrôles	contrôle	IO	_
19	du	de	IO	_
20	site	site	EO	_
21	,	,	O	_
22	n'	n'	O	_
23	ont	avoir	O	_
24	révélés	révéler	O	_
25	aucuns	aucuns	O	_
26	dépassements	dépassement	O	_
27	des	de	O	_
28	seuils	seuil	O	_
29	de	de	O	_
30	quantification	quantification	O	_
31	pour	pour	O	_
32	les	le	O	_
33	paramètres	paramètre	O	_
34	recherchés	rechercher	O	_
35	.	.	O	_


#L'exploitant est tenu de poursuivre la surveillance des eaux souterraines sur son site.
1	L'	le	BO	_
2	exploitant	exploitant	EO	_
3	est	être	BN	_
4	tenu	tenir	IN	_
5	de	de	IA	_
6	poursuivre	poursuivre	IA	_
7	la	le	IA	_
8	surveillance	surveillance	IA	_
9	des	de	IA	_
10	eaux	eau	IA	_
11	souterraines	souterrain	EA	_
12	sur	sur	O	_
13	son	son	O	_
14	site	site	O	_
15	.	.	O	_


#67.0015
#Il s'agit de deux anciens puits de mines de l'exploitation pétrolière de Pechelbronn.
1	Il	il	O	_
2	s'	se	O	_
3	agit	agir	O	_
4	de	de	O	_
5	deux	deux	BO	_
6	anciens	ancien	IO	_
7	puits	puits	IO	_
8	de	de	IO	_
9	mines	mine	EO	_
10	de	de	O	_
11	l'	le	BO	_
12	exploitation	exploitation	IO	_
13	pétrolière	pétrolier	EO	_
14	de	de	O	_
15	Pechelbronn	Pechelbronn	EO	_
16	.	.	O	_


#Le fonçage du puits I, commencé en 1916, appelé d’abord puits Noellenburg puis Clémenceau, fut inauguré le 20 avril.
1	Le	le	BN	_
2	fonçage	fonçage	EN	_
3	du	de	IO	_
4	puits	puits	IO	_
5	I	i	EO	_
6	,	,	O	_
7	commencé	commencer	BT	_
8	en	en	BT	_
9	1916	1916	ET	_
10	,	,	O	_
11	appelé	appeler	BR	_
12	d’	d’	IR	_
13	abord	abord	ER	_
14	puits	puits	BN	_
15	Noellenburg	Noellenburg	IN	_
16	puis	puis	O	_
17	Clémenceau	Clémenceau	O	_
18	,	,	O	_
19	fut	être	BN	_
20	inauguré	inaugurer	EN	_
21	le	le	BT	_
22	20	20	IT	_
23	avril	avril	IT	_
24	.	.	ET	_


#Suite aux graves incendies qui ont affecté le puits en 1919, ainsi qu’à l’évolution des règlements miniers, il a été doublé par un puits de sortie d’air, dénommé puits IV.
1	Suite	suite	BR	_
2	aux	aux	BN	_
3	graves	grave	IN	_
4	incendies	incendie	IN	_
5	qui	qui	O	_
6	ont	avoir	BN	_
7	affecté	affecter	EN	_
8	le	le	BO	_
9	puits	puits	EO	_
10	en	en	BT	_
11	1919	1919	ET	_
12	,	,	O	_
13	ainsi	ainsi	O	_
14	qu’	qu’	O	_
15	à	à	O	_
16	l’	l’	O	_
17	évolution	évolution	O	_
18	des	de	O	_
19	règlements	règlement	O	_
20	miniers	minier	O	_
21	,	,	O	_
22	il	il	BO	_
23	a	avoir	BN	_
24	été	être	IN	_
25	doublé	doubler	BO	_
26	par	par	BO	_
27	un	un	BO	_
28	puits	puits	IO	_
29	de	de	IO	_
30	sortie	sortie	IO	_
31	d’	d’	IO	_
32	air	air	EO	_
33	,	,	O	_
34	dénommé	dénommer	O	_
35	puits	puits	O	_
36	IV	iv	O	_
37	.	.	O	_


#Le puits IV a été foncé jusqu’au premier étage de 1920 à mars 1921.
1	Le	le	BO	_
2	puits	puits	IO	_
3	IV	IV	EO	_
4	a	avoir	BN	_
5	été	être	IN	_
6	foncé	foncer	EN	_
7	jusqu’	jusqu’	O	_
8	au	au	O	_
9	premier	premier	O	_
10	étage	étage	O	_
11	de	de	O	_
12	1920	1920	IT	_
13	à	à	IT	_
14	mars	mars	IT	_
15	1921	1921	ET	_
16	.	.	O	_


#Le creusement a été repris en 1923 pour atteindre sa profondeur définitive.
1	Le	le	BN	_
2	creusement	creusement	EN	_
3	a	avoir	BN	_
4	été	être	IN	_
5	repris	reprendre	EN	_
6	en	en	BT	_
7	1923	1923	ET	_
8	pour	pour	O	_
9	atteindre	atteindre	ER	_
10	sa	son	BO	_
11	profondeur	profondeur	EO	_
12	définitive	définitif	EO	_
13	.	.	O	_


#En mars 1962, il est décidé l’abandon définitif de l’exploitation.
1	En	en	BT	_
2	mars	mars	IT	_
3	1962	1962	ET	_
4	,	,	O	_
5	il	il	BO	_
6	est	être	IO	_
7	décidé	décider	EO	_
8	l’	l’	BN	_
9	abandon	abandon	IN	_
10	définitif	définitif	EN	_
11	de	de	O	_
12	l’	l’	BO	_
13	exploitation	exploitation	EO	_
14	.	.	O	_


#Les puits ont été obstrués par des dalles de surface entre mai 1962 et janvier 1963.
1	Les	le	BO	_
2	puits	puits	EO	_
3	ont	avoir	BN	_
4	été	être	IN	_
5	obstrués	obstruer	EN	_
6	par	par	O	_
7	des	un	O	_
8	dalles	dalle	O	_
9	de	de	O	_
10	surface	surface	O	_
11	entre	entre	BT	_
12	mai	mai	IT	_
13	1962	1962	IT	_
14	et	et	IT	_
15	janvier	janvier	IT	_
16	1963	1963	ET	_
17	.	.	ET	_


#Une déviation et une couverture du Willenbach pour éviter sa pollution ont été mises en place début 1996 sur le siège Clémenceau, complétées par le traitement des eaux dans un débourbeur et un séparateur d'hydrocarbures.
1	Une	un	BO	_
2	déviation	déviation	EO	_
3	et	et	O	_
4	une	un	BO	_
5	couverture	couverture	BO	_
6	du	de	IL	_
7	Willenbach	Willenbach	EL	_
8	pour	pour	O	_
9	éviter	éviter	BO	_
10	sa	son	IO	_
11	pollution	pollution	EO	_
12	ont	avoir	BN	_
13	été	être	IN	_
14	mises	mettre	IN	_
15	en	en	EN	_
16	place	place	EN	_
17	début	début	BT	_
18	1996	1996	ET	_
19	sur	sur	O	_
20	le	le	BO	_
21	siège	siège	IO	_
22	Clémenceau	Clémenceau	EO	_
23	,	,	O	_
24	complétées	compléter	O	_
25	par	par	O	_
26	le	le	BA	_
27	traitement	traitement	IO	_
28	des	de	IO	_
29	eaux	eau	EO	_
30	dans	dans	O	_
31	un	un	O	_
32	débourbeur	débourbeur	O	_
33	et	et	O	_
34	un	un	O	_
35	séparateur	séparateur	O	_
36	d'	de	O	_
37	hydrocarbures	hydrocarbure	O	_
38	.	.	O	_


#Des travaux ont été menés sur les puits en août 1998, qui consistaient en :
1	Des	un	BN	_
2	travaux	travail	EN	_
3	ont	avoir	BN	_
4	été	être	IN	_
5	menés	mener	EN	_
6	sur	sur	EN	_
7	les	le	BO	_
8	puits	puits	EO	_
9	en	en	BT	_
10	août	août	IT	_
11	1998	1998	ET	_
12	,	,	ET	_
13	qui	qui	O	_
14	consistaient	consister	O	_
15	en	en	O	_
16	:	:	O	_


#- la pose d'un coupe flamme sur la tête de puit, afin de prévenir les risques d'incendie/explosion dus aux gaz.
1	-	-	O	_
2	la	le	BN	_
3	pose	pose	BN	_
4	d'	de	IN	_
5	un	un	BO	_
6	coupe	coupe	IO	_
7	flamme	flamme	EO	_
8	sur	sur	O	_
9	la	le	O	_
10	tête	tête	BO	_
11	de	de	IO	_
12	puit	puit	EO	_
13	,	,	O	_
14	afin	afin	O	_
15	de	de	O	_
16	prévenir	prévenir	O	_
17	les	le	O	_
18	risques	risque	O	_
19	d'	de	O	_
20	incendie	incendie	O	_
21	/	/	O	_
22	explosion	explosion	O	_
23	dus	du	O	_
24	aux	à	O	_
25	gaz	gaz	O	_
26	.	.	O	_


#- installation d'une clôture, interdisant l'accès à la tête de puits, munie d'une porte fermée à clé.
1	-	-	O	_
2	installation	installation	BN	_
3	d'	de	IN	_
4	une	un	IN	_
5	clôture	clôture	EN	_
6	,	,	O	_
7	interdisant	interdire	BN	_
8	l'	le	BN	_
9	accès	accès	EN	_
10	à	à	O	_
11	la	le	BO	_
12	tête	tête	IO	_
13	de	de	IO	_
14	puits	puits	EO	_
15	,	,	O	_
16	munie	munir	O	_
17	d'	de	O	_
18	une	un	O	_
19	porte	porte	O	_
20	fermée	fermer	O	_
21	à	à	O	_
22	clé	clé	O	_
23	.	.	O	_


#- le bornage d'un périmètre de protection dans lequel le stockage de matériel lourd et la construction sont interdits compte tenu du risque d'éffondrement du puit.
1	-	-	O	_
2	le	le	BN	_
3	bornage	bornage	EN	_
4	d'	de	O	_
5	un	un	BO	_
6	périmètre	périmètre	IO	_
7	de	de	IO	_
8	protection	protection	EO	_
9	dans	dans	O	_
10	lequel	lequel	O	_
11	le	le	BA	_
12	stockage	stockage	IA	_
13	de	de	IA	_
14	matériel	matériel	IA	_
15	lourd	lourd	IA	_
16	et	et	IA	_
17	la	le	IA	_
18	construction	construction	EA	_
19	sont	être	BN	_
20	interdits	interdire	EN	_
21	compte	compte	O	_
22	tenu	tenir	O	_
23	du	de	O	_
24	risque	risque	O	_
25	d'	de	O	_
26	éffondrement	éffondrement	BN	_
27	du	de	IN	_
28	puit	puit	EN	_
29	.	.	O	_


#- pose d'une dalle de béton
1	-	-	O	_
2	pose	pose	BN	_
3	d'	de	IN	_
4	une	un	BO	_
5	dalle	dalle	IO	_
6	de	de	IO	_
7	béton	béton	EO	_


#Les puits I et IV n’ont pas servi de décharge de produits chimiques.
1	Les	le	BO	_
2	puits	puits	IO	_
3	I	i	IO	_
4	et	et	IO	_
5	IV	iv	EO	_
6	n’	n’	BN	_
7	ont	avoir	IN	_
8	pas	pas	IN	_
9	servi	servir	IN	_
10	de	de	IN	_
11	décharge	décharge	IN	_
12	de	de	IN	_
13	produits	produit	IN	_
14	chimiques	chimique	EN	_
15	.	.	O	_


