
#67.0104
#Terril situé sur l'ancien siège Daniel Mieg de l'ancienne exploitation pétrolière de Pechelbronn, à proximité des puits III et VII.
1	Terril	Terril	BR	_
19	)	)	O	_
20	.	.	O	_


#Une autre étude menée en 1999 par la société ANTEA a montré que le terril comporte des zones polluées (résidus d'hydrocarbures) dont l'ampleur est difficilement estimable.
1	Une	un	BN	_
2	autre	autre	IN	_
3	étude	étude	EN	_
4	menée	mener	O	_
5	en	en	BT	_
6	1999	1999	ET	_
7	par	par	O	_
8	la	le	BO	_
9	société	société	IO	_
10	ANTEA	ANTEA	EO	_
11	a	avoir	O	_
12	montré	montrer	O	_
13	que	que	O	_
14	le	le	O	_
15	terril	terril	EN	_
16	comporte	comporte	BR	_
17	des	un	BO	_
18	zones	zone	IO	_
19	polluées	polluer	EO	_
20	(	(	O	_
21	résidus	résidu	O	_
22	d'	de	O	_
23	hydrocarbures	hydrocarbure	O	_
24	)	)	O	_
25	dont	dont	O	_
26	l'	le	O	_
27	ampleur	ampleur	O	_
28	est	être	O	_
29	difficilement	difficilement	O	_
30	estimable	estimable	O	_
31	.	.	O	_


#Un projet de stabilisation: terrassement et drainage a été mené.
1	Un	un	BN	_
2	projet	projet	IN	_
3	de	de	IN	_
4	stabilisation	stabilisation	EN	_
5	:	:	O	_
6	terrassement	terrassement	EN	_
7	et	et	O	_
8	drainage	drainage	BO	_
9	a	avoir	BN	_
10	été	être	IN	_
11	mené	mener	EN	_
12	.	.	O	_


#La Dinem a organisé une réunion de présentation du scénario de réhabilitation du terril de Gunstett.
1	La	le	BO	_
2	Dinem	Dinem	EO	_
3	a	avoir	BN	_
4	organisé	organiser	EN	_
5	une	un	BN	_
6	réunion	réunion	EN	_
7	de	de	EN	_
8	présentation	présentation	EN	_
9	du	de	BO	_
10	scénario	scénario	IO	_
11	de	de	IO	_
12	réhabilitation	réhabilitation	EO	_
13	du	de	O	_
14	terril	terril	BN	_
15	de	de	O	_
16	Gunstett	Gunstett	EO	_
17	.	.	O	_


#Lors de celle-ci a été demandé qu'au delà de l'étude détaillée des scénarios de réhabilitation du terril, une présentation du contexte géologique et hydrogéologique du secteur soit particulièrement développée.
1	Lors	lors	O	_
2	de	de	O	_
3	celle-ci	celui-ci	O	_
4	a	avoir	O	_
5	été	être	O	_
6	demandé	demander	O	_
7	qu'	que	BR	_
8	au	au	BR	_
9	delà	delà	IR	_
10	de	de	ER	_
11	l'	le	BN	_
12	étude	étude	BN	_
13	détaillée	détaillé	BN	_
14	des	de	BN	_
15	scénarios	scénario	IN	_
16	de	de	IN	_
17	réhabilitation	réhabilitation	EN	_
18	du	de	O	_
19	terril	terril	EN	_
20	,	,	O	_
21	une	un	O	_
22	présentation	présentation	O	_
23	du	de	O	_
24	contexte	contexte	IO	_
25	géologique	géologique	IO	_
26	et	et	IO	_
27	hydrogéologique	hydrogéologique	EN	_
28	du	de	O	_
29	secteur	secteur	O	_
30	soit	être	O	_
31	particulièrement	particulièrement	O	_
32	développée	développer	O	_
33	.	.	O	_


#Ces études ont été réalisées.
1	Ces	ce	BO	_
2	études	étude	EO	_
3	ont	avoir	BN	_
4	été	être	IN	_
5	réalisées	réaliser	EN	_
6	.	.	O	_


#La société ANTEA et le Laboratoire régional des Ponts et Chaussées de Strasbourg ont produit plusieurs rapports entre 1999 et 2001 : étude complémentaire de stabilisation, étude des contraintes environnementales et solutions de réhabilitation.
1	La	le	BO	_
2	société	société	IO	_
3	ANTEA	ANTEA	EO	_
4	et	et	O	_
5	le	le	BO	_
6	Laboratoire	laboratoire	IO	_
7	régional	régional	IO	_
8	des	de	IO	_
9	Ponts	pont	IO	_
10	et	et	IO	_
11	Chaussées	chaussée	IO	_
12	de	de	IO	_
13	Strasbourg	Strasbourg	EO	_
14	ont	avoir	BN	_
15	produit	produire	EN	_
16	plusieurs	plusieurs	BO	_
17	rapports	rapport	EO	_
18	entre	entre	BT	_
19	1999	1999	IT	_
20	et	et	IT	_
21	2001	2001	ET	_
22	:	:	O	_
23	étude	étude	O	_
24	complémentaire	complémentaire	O	_
25	de	de	O	_
26	stabilisation	stabilisation	O	_
27	,	,	O	_
28	étude	étude	O	_
29	des	de	BO	_
30	contraintes	contrainte	IO	_
31	environnementales	environnemental	EO	_
32	et	et	O	_
33	solutions	solution	BO	_
34	de	de	IO	_
35	réhabilitation	réhabilitation	EO	_
36	.	.	O	_


#Une démarche est en cours afin de reloger le propriétaire du terrain, dont l’habitation est menacée par le terril.
1	Une	un	BO	_
2	démarche	démarche	EO	_
3	est	être	O	_
4	en	en	O	_
5	cours	cours	O	_
6	afin	afin	O	_
7	de	de	O	_
8	reloger	reloger	BN	_
9	le	le	BO	_
10	propriétaire	propriétaire	IO	_
11	du	de	IO	_
12	terrain	terrain	EO	_
13	,	,	O	_
14	dont	dont	O	_
15	l’	l’	O	_
16	habitation	habitation	O	_
17	est	être	O	_
18	menacée	menacer	BL	_
19	par	par	IL	_
20	le	le	IL	_
21	terril	terril	IL	_
22	.	.	O	_


#L’Etat envisage de se rendre propriétaire du terrain et d’en interdire l’accès, ou d’y imposer une servitude d’utilisation, afin de s’affranchir à court terme de tout risque pour les populations.
1	L’	l’	BO	_
2	Etat	etat	EO	_
3	envisage	envisager	BR	_
4	de	de	BN	_
5	se	se	IN	_
6	rendre	rendre	IN	_
7	propriétaire	propriétaire	EN	_
8	du	de	BO	_
9	terrain	terrain	EO	_
10	et	et	O	_
11	d’	d’	O	_
12	en	en	O	_
13	interdire	interdire	BN	_
14	l’	l’	BN	_
15	accès	accès	EN	_
16	,	,	O	_
17	ou	ou	O	_
18	d’	d’	O	_
19	y	y	O	_
20	imposer	imposer	BN	_
21	une	un	BO	_
22	servitude	servitude	IO	_
23	d’	d’	IO	_
24	utilisation	utilisation	EO	_
25	,	,	O	_
26	afin	afin	O	_
27	de	de	O	_
28	s’	s’	BN	_
29	affranchir	affranchir	IN	_
30	à	à	IN	_
31	court	court	IN	_
32	terme	terme	EO	_
33	de	de	O	_
34	tout	tout	O	_
35	risque	risque	O	_
36	pour	pour	O	_
37	les	le	BN	_
38	populations	population	EN	_
39	.	.	O	_


#Aucune utilisation des eaux souterraines n’a été relevée en aval du terril : il n’est pas prévu pour l’instant de traiter la pollution contenue dans le terril.
1	Aucune	aucun	BO	_
2	utilisation	utilisation	IO	_
3	des	de	IA	_
4	eaux	eau	IA	_
5	souterraines	souterrain	EA	_
6	n’	n’	O	_
7	a	avoir	O	_
8	été	être	O	_
9	relevée	relever	O	_
10	en	en	BL	_
11	aval	aval	IL	_
12	du	de	IL	_
13	terril	terril	EL	_
14	:	:	O	_
15	il	il	BO	_
16	n’	n’	IR	_
17	est	être	BO	_
18	pas	pas	IO	_
19	prévu	prévoir	EO	_
20	pour	pour	BT	_
21	l’	l’	IT	_
22	instant	instant	ET	_
23	de	de	O	_
24	traiter	traiter	O	_
25	la	le	O	_
26	pollution	pollution	O	_
27	contenue	contenir	O	_
28	dans	dans	O	_
29	le	le	O	_
30	terril	terril	O	_
31	.	.	O	_


#Le terril a été mis en surveillance d'un point de vue géotechnique et environnemental fin 2012 sur demande de la DREAL Alsace.
1	Le	le	BO	_
2	terril	terril	EO	_
3	a	avoir	BN	_
4	été	être	IN	_
5	mis	mettre	IN	_
6	en	en	IN	_
7	surveillance	surveillance	EN	_
8	d'	de	O	_
9	un	un	O	_
10	point	point	O	_
11	de	de	O	_
12	vue	vue	O	_
13	géotechnique	géotechnique	O	_
14	et	et	O	_
15	environnemental	environnemental	O	_
16	fin	fin	BT	_
17	2012	2012	ET	_
18	sur	sur	O	_
19	demande	demande	IR	_
20	de	de	ER	_
21	la	le	BO	_
22	DREAL	dreal	IO	_
23	Alsace	Alsace	EO	_
24	.	.	O	_


#Les batiments de l'ancien carreau ont été rasés en 2012.
1	Les	le	BO	_
2	batiments	batiment	BO	_
3	de	de	O	_
4	l'	le	O	_
5	ancien	ancien	O	_
6	carreau	carreau	O	_
7	ont	avoir	BN	_
8	été	être	IN	_
9	rasés	raser	EN	_
10	en	en	BT	_
11	2012	2012	ET	_
12	.	.	ET	_


#67.0043
#Schneider industrie fabrique des citernes et des bouteilles de gaz.
1	Schneider	Schneider	BO	_
2	industrie	industrie	EO	_
3	fabrique	fabrique	BA	_
4	des	un	IA	_
5	citernes	citerne	IA	_
6	et	et	O	_
7	des	un	O	_
8	bouteilles	bouteille	O	_
9	de	de	O	_
10	gaz	gaz	O	_
11	.	.	O	_


#Certaines des activités peuvent être à l'origine de pollution : application de peintures, dégraissage, zingage, stockage de gasoil.
1	Certaines	certains	O	_
2	des	de	O	_
3	activités	activité	O	_
4	peuvent	pouvoir	O	_
5	être	être	O	_
6	à	à	O	_
7	l'	le	O	_
8	origine	origine	O	_
9	de	de	O	_
10	pollution	pollution	O	_
11	:	:	O	_
12	application	application	BN	_
13	de	de	IN	_
14	peintures	peinture	EN	_
15	,	,	O	_
16	dégraissage	dégraissage	EN	_
17	,	,	O	_
18	zingage	zingage	EO	_
19	,	,	O	_
20	stockage	stockage	BA	_
21	de	de	IA	_
22	gasoil	gasoil	EA	_
23	.	.	O	_


#L'AP d'autorisation du 24/07/97 prescrit une étude de sol.
1	L'	le	BO	_
2	AP	ap	EO	_
3	d'	de	EO	_
4	autorisation	autorisation	EO	_
5	du	de	O	_
6	24/07/97	24/07/97	IT	_
7	prescrit	prescrire	BN	_
8	une	un	BN	_
9	étude	étude	IN	_
10	de	de	IN	_
11	sol	sol	EN	_
12	.	.	O	_


#Une Evaluation Simplifiée des Risques a été rendue en octobre 2003.
1	Une	un	BO	_
2	Evaluation	evaluation	BN	_
3	Simplifiée	simplifier	IN	_
4	des	de	IN	_
5	Risques	risque	EN	_
6	a	avoir	BN	_
7	été	être	IN	_
8	rendue	rendre	EN	_
9	en	en	BT	_
10	octobre	octobre	IT	_
11	2003	2003	ET	_
12	.	.	ET	_


#Le dossier de surveillance des eaux souterraines a été rendu en février 2004. 4 piezomètres sont disposés sur le site.
1	Le	le	BO	_
2	dossier	dossier	IO	_
3	de	de	IO	_
4	surveillance	surveillance	BA	_
5	des	de	IA	_
6	eaux	eau	IA	_
7	souterraines	souterrain	EA	_
8	a	avoir	BN	_
9	été	être	IN	_
10	rendu	rendre	EN	_
11	en	en	BT	_
12	février	février	IT	_
13	2004	2004	ET	_
14	.	.	ET	_
15	4	4	BO	_
16	piezomètres	piezomètre	EO	_
17	sont	être	O	_
18	disposés	disposer	O	_
19	sur	sur	O	_
20	le	le	O	_
21	site	site	O	_
22	.	.	O	_


#Fin octobre 2005, fourniture du "diagnostic métaux dans les sols" suite à l'APC du 01/08/05.
1	Fin	fin	BT	_
2	octobre	octobre	IT	_
3	2005	2005	ET	_
4	,	,	ET	_
5	fourniture	fourniture	BN	_
6	du	de	IN	_
7	"	"	IN	_
8	diagnostic	diagnostic	EN	_
9	métaux	métal	EO	_
10	dans	dans	O	_
11	les	le	BO	_
12	sols	sol	EO	_
13	"	"	O	_
14	suite	suite	BR	_
15	à	à	ER	_
16	l'	le	BO	_
17	APC	apc	O	_
18	du	de	O	_
19	01/08/05	01/08/05	IT	_
20	.	.	O	_


#En octobre 2013, l’étude des données d’autosurveillance des eaux souterraines de 2010 à 2012 indique des teneurs anormales notamment en fer pour l'emprise du site.
1	En	en	BT	_
2	octobre	octobre	IT	_
3	2013	2013	ET	_
4	,	,	ET	_
5	l’	l’	BN	_
6	étude	étude	EN	_
7	des	de	O	_
8	données	donnée	O	_
9	d’	d’	O	_
10	autosurveillance	autosurveillance	IA	_
11	des	de	IA	_
12	eaux	eau	IA	_
13	souterraines	souterrain	EA	_
14	de	de	BT	_
15	2010	2010	IT	_
16	à	à	IT	_
17	2012	2012	ET	_
18	indique	indique	O	_
19	des	un	O	_
20	teneurs	teneur	O	_
21	anormales	anormal	O	_
22	notamment	notamment	O	_
23	en	en	O	_
24	fer	fer	BO	_
25	pour	pour	O	_
26	l'	le	O	_
27	emprise	emprise	O	_
28	du	de	O	_
29	site	site	O	_
30	.	.	O	_


#Une recherche de l'origine de cette anomalie ainsi qu'une étude visant à la mise à jour  des paramètres de surveillance des eaux souterraines sont prévues pour fin 2013-courant 2014.
1	Une	un	BN	_
2	recherche	recherche	EN	_
3	de	de	O	_
4	l'	le	BO	_
5	origine	origine	EO	_
6	de	de	O	_
7	cette	ce	O	_
8	anomalie	anomalie	O	_
9	ainsi	ainsi	O	_
10	qu'	que	O	_
11	une	un	BN	_
12	étude	étude	IN	_
13	visant	viser	BR	_
14	à	à	ER	_
15	la	le	BN	_
16	mise	mise	IN	_
17	à	à	IN	_
18	jour	jour	EN	_
19	 	 	IA	_
20	des	de	IA	_
21	paramètres	paramètre	IA	_
22	de	de	IA	_
23	surveillance	surveillance	IA	_
24	des	de	IA	_
25	eaux	eau	IA	_
26	souterraines	souterrain	EA	_
27	sont	être	BN	_
28	prévues	prévoir	BT	_
29	pour	pour	BT	_
30	fin	fin	IT	_
31	2013-courant	2013-courant	ET	_
32	2014	2014	ET	_
33	.	.	ET	_


#67.0017
#Dans ce centre de production d'éléments de batteries pour voitures, un accident lié à un recyclage par distillation datant de 1982 a été à l'origine de la pollution des sols et des eaux souterraines par un mélange d'huile-hexane.
1	Dans	dans	BL	_
2	ce	ce	BO	_
3	centre	centre	EO	_
4	de	de	BA	_
5	production	production	BA	_
6	d'	de	IA	_
7	éléments	élément	IA	_
8	de	de	IA	_
9	batteries	batterie	IA	_
10	pour	pour	O	_
11	voitures	voiture	O	_
12	,	,	O	_
13	un	un	BN	_
14	accident	accident	EN	_
15	lié	lier	BR	_
16	à	à	ER	_
17	un	un	BN	_
18	recyclage	recyclage	IN	_
19	par	par	IN	_
20	distillation	distillation	EN	_
21	datant	dater	BT	_
22	de	de	IT	_
23	1982	1982	ET	_
24	a	avoir	BR	_
25	été	être	IR	_
26	à	à	ER	_
27	l'	le	IR	_
28	origine	origine	IR	_
29	de	de	ER	_
30	la	le	BO	_
31	pollution	pollution	EO	_
32	des	de	O	_
33	sols	sol	BO	_
34	et	et	O	_
35	des	de	O	_
36	eaux	eau	O	_
37	souterraines	souterrain	O	_
38	par	par	O	_
39	un	un	O	_
40	mélange	mélange	O	_
41	d'	de	O	_
42	huile	huile	O	_
43	-	-	O	_
44	hexane	hexane	O	_
45	.	.	O	_


#La pollution résiduelle des eaux souterraines est circonscrite au site.
1	La	le	O	_
2	pollution	pollution	O	_
3	résiduelle	résiduel	O	_
4	des	de	O	_
5	eaux	eau	O	_
6	souterraines	souterrain	O	_
7	est	être	O	_
8	circonscrite	circonscrire	O	_
9	au	au	O	_
10	site	site	O	_
11	.	.	O	_


#La mise en place d'un pompage, avait permis de récupérer 2 m3 de mélange, et 10 m3 de terres souillées avaient été extraites.
1	La	le	BN	_
2	mise	mise	IN	_
3	en	en	IN	_
4	place	place	IN	_
5	d'	de	IN	_
6	un	un	IN	_
7	pompage	pompage	EN	_
8	,	,	O	_
9	avait	avoir	O	_
10	permis	permettre	O	_
11	de	de	O	_
12	récupérer	récupérer	O	_
13	2	2	BO	_
14	m3	m3	IO	_
15	de	de	IO	_
16	mélange	mélange	EO	_
17	,	,	O	_
18	et	et	O	_
19	10	10	BO	_
20	m3	m3	IO	_
21	de	de	IO	_
22	terres	terre	IO	_
23	souillées	souiller	EO	_
24	avaient	avoir	BN	_
25	été	être	IN	_
26	extraites	extraire	EN	_
27	.	.	O	_


#L'AP du 28/11/94 a prescrit une dépollution complémentaire.
1	L'	le	BO	_
2	AP	ap	EO	_
3	du	de	O	_
4	28/11/94	28/11/94	IT	_
5	a	avoir	BN	_
6	prescrit	prescrire	IN	_
7	une	un	IN	_
8	dépollution	dépollution	EN	_
9	complémentaire	complémentaire	O	_
10	.	.	O	_


#Le traitement des sols et de la nappe par venting  mis en place de septembre 1994 à octobre 1995 a permis d'extraire 1 350 kg d'hexane.
1	Le	le	BN	_
2	traitement	traitement	IN	_
3	des	de	O	_
4	sols	sol	O	_
5	et	et	O	_
6	de	de	O	_
7	la	le	BO	_
8	nappe	nappe	IN	_
9	par	par	IN	_
10	venting	venting	EN	_
11	 	 	BN	_
12	mis	mettre	BN	_
13	en	en	EN	_
14	place	place	EN	_
15	de	de	BT	_
16	septembre	septembre	IT	_
17	1994	1994	IT	_
18	à	à	IT	_
19	octobre	octobre	IT	_
20	1995	1995	ET	_
21	a	avoir	EN	_
22	permis	permettre	EN	_
23	d'	de	EN	_
24	extraire	extraire	EN	_
25	1	1	O	_
26	350	350	BO	_
27	kg	kilogramme	BO	_
28	d'	de	BO	_
29	hexane	hexane	EO	_
30	.	.	O	_


#Une barrière hydraulique par pompage (80 m3/h) dont la fiabilité a été vérifiée et une surveillance de la nappe prescrite par l'AP du 14/02/2000 sont maintenues.
1	Une	un	BO	_
2	barrière	barrière	IO	_
3	hydraulique	hydraulique	EO	_
4	par	par	O	_
5	pompage	pompage	O	_
6	(	(	O	_
7	80	80	O	_
8	m3	m3	O	_
9	/	sur	O	_
10	h	heure	O	_
11	)	)	O	_
12	dont	dont	O	_
13	la	le	O	_
14	fiabilité	fiabilité	O	_
15	a	avoir	O	_
16	été	être	O	_
17	vérifiée	vérifier	O	_
18	et	et	O	_
19	une	un	BA	_
20	surveillance	surveillance	IA	_
21	de	de	IA	_
22	la	le	IA	_
23	nappe	nappe	EA	_
24	prescrite	prescrire	BR	_
25	par	par	ER	_
26	l'	le	BO	_
27	AP	ap	EO	_
28	du	de	O	_
29	14/02/2000	14/02/2000	ET	_
30	sont	être	O	_
31	maintenues	maintenir	O	_
32	.	.	O	_


#Depuis 2009, l'entreprise fait procéder semestriellement à des analyses des concentrations en hydrocarbures totaux, conductivité, hydrocarbures totaux, cyclohexane,cyclopentane, heptane, hexane, 2-méthylpentane, 3-méthylpentane, méthylcyclopentane sur six points de prélèvements.
1	Depuis	depuis	BT	_
2	2009	2009	ET	_
3	,	,	ET	_
4	l'	le	BO	_
5	entreprise	entreprise	EO	_
6	fait	faire	BN	_
7	procéder	procéder	EN	_
8	semestriellement	semestriellement	ET	_
9	à	à	ER	_
10	des	un	BN	_
11	analyses	analyse	EN	_
12	des	de	O	_
13	concentrations	concentration	O	_
14	en	en	O	_
15	hydrocarbures	hydrocarbure	O	_
16	totaux	total	O	_
17	,	,	O	_
18	conductivité	conductivité	O	_
19	,	,	O	_
20	hydrocarbures	hydrocarbure	O	_
21	totaux	total	O	_
22	,	,	O	_
23	cyclohexane	cyclohexane	O	_
24	,	,	O	_
25	cyclopentane	cyclopentane	O	_
26	,	,	O	_
27	heptane	heptane	O	_
28	,	,	O	_
29	hexane	hexane	O	_
30	,	,	O	_
31	2-méthylpentane	2-méthylpentane	O	_
32	,	,	O	_
33	3-méthylpentane	3-méthylpentane	O	_
34	,	,	O	_
35	méthylcyclopentane	méthylcyclopentane	O	_
36	sur	sur	O	_
37	six	six	O	_
38	points	point	O	_
39	de	de	O	_
40	prélèvements	prélèvement	O	_
41	.	.	O	_


#D'une manière générale, il convient de noter que l'arrêté ministériel du 11 janvier 2007 relatif aux limites et références de qualité des eaux brutes et des eaux destinées à la consommation humaine ne fixe pas de valeurs limites ni pour les hydrocarbures totaux, ni pour les autres polluants recherchés.
1	D'	de	O	_
2	une	un	O	_
3	manière	manière	O	_
4	générale	général	O	_
5	,	,	O	_
6	il	il	O	_
7	convient	convier	O	_
8	de	de	O	_
9	noter	noter	O	_
10	que	que	O	_
11	l'	le	BO	_
12	arrêté	arrêté	BO	_
13	ministériel	ministériel	EO	_
14	du	de	O	_
15	11	11	BT	_
16	janvier	janvier	IT	_
17	2007	2007	ET	_
18	relatif	relatif	O	_
19	aux	à	O	_
20	limites	limite	O	_
21	et	et	O	_
22	références	référence	O	_
23	de	de	O	_
24	qualité	qualité	O	_
25	des	de	O	_
26	eaux	eau	O	_
27	brutes	brut	O	_
28	et	et	O	_
29	des	de	O	_
30	eaux	eau	O	_
31	destinées	destiner	O	_
32	à	à	O	_
33	la	le	O	_
34	consommation	consommation	O	_
35	humaine	humain	O	_
36	ne	ne	O	_
37	fixe	fixe	O	_
38	pas	pas	O	_
39	de	de	O	_
40	valeurs	valeur	O	_
41	limites	limite	O	_
42	ni	ni	O	_
43	pour	pour	O	_
44	les	le	O	_
45	hydrocarbures	hydrocarbure	O	_
46	totaux	total	O	_
47	,	,	O	_
48	ni	ni	O	_
49	pour	pour	O	_
50	les	le	O	_
51	autres	autre	O	_
52	polluants	polluant	O	_
53	recherchés	rechercher	O	_
54	.	.	O	_


#De plus, le puits de pompage(PB), deux piézomètres (PA et PC), et trois puits d'observation( MW1, MW2, MW3) présentent un indice hydrocarbures inférieur au seuil de détection.
1	De	de	O	_
2	plus	plus	O	_
3	,	,	O	_
4	le	le	BO	_
5	puits	puits	IO	_
6	de	de	IO	_
7	pompage(PB	pompage(pb	EO	_
8	)	)	O	_
9	,	,	O	_
10	deux	deux	O	_
11	piézomètres	piézomètre	O	_
12	(	(	O	_
13	PA	pa	O	_
14	et	et	O	_
15	PC	pc	O	_
16	)	)	O	_
17	,	,	O	_
18	et	et	O	_
19	trois	trois	O	_
20	puits	puits	O	_
21	d'	de	O	_
22	observation	observation	O	_
23	(	(	O	_
24	MW1	mw1	O	_
25	,	,	O	_
26	MW2	mw2	O	_
27	,	,	O	_
28	MW3	mw3	O	_
29	)	)	O	_
30	présentent	présenter	O	_
31	un	un	O	_
32	indice	indice	O	_
33	hydrocarbures	hydrocarbure	O	_
34	inférieur	inférieur	O	_
35	au	au	O	_
36	seuil	seuil	O	_
37	de	de	O	_
38	détection	détection	O	_
39	.	.	O	_


#Par contre, les puits d'observation MW1 et MW2 présentent des teneurs importantes en 2-méthylpentane (de l'ordre 30 à 60 µg/l) , méthylcyclopentane (de l'ordre de 250 à 950 µg/l  et  cyclohexane (de l'ordre de 200 à 450 µg/l)
1	Par	par	O	_
2	contre	contre	O	_
3	,	,	O	_
4	les	le	O	_
5	puits	puits	O	_
6	d'	de	O	_
7	observation	observation	O	_
8	MW1	mw1	O	_
9	et	et	O	_
10	MW2	mw2	O	_
11	présentent	présenter	O	_
12	des	un	O	_
13	teneurs	teneur	O	_
14	importantes	important	O	_
15	en	en	O	_
16	2-méthylpentane	2-méthylpentane	O	_
17	(	(	O	_
18	de	de	O	_
19	l'	le	O	_
20	ordre	ordre	O	_
21	30	30	O	_
22	à	à	O	_
23	60	60	O	_
24	µg	µg	O	_
25	/	sur	O	_
26	l	l	O	_
27	)	)	O	_
28	,	,	O	_
29	méthylcyclopentane	méthylcyclopentane	O	_
30	(	(	O	_
31	de	de	O	_
32	l'	le	O	_
33	ordre	ordre	O	_
34	de	de	O	_
35	250	250	O	_
36	à	à	O	_
37	950	950	O	_
38	 	 	O	_
39	µg	µg	O	_
40	/	sur	O	_
41	l	l	O	_
42	 	 	O	_
43	et	et	O	_
44	 	 	O	_
45	cyclohexane	cyclohexane	O	_
46	(	(	O	_
47	de	de	O	_
48	l'	le	O	_
49	ordre	ordre	O	_
50	de	de	O	_
51	200	200	O	_
52	à	à	O	_
53	450	450	O	_
54	µg	µg	O	_
55	/	sur	O	_
56	l	l	O	_
57	)	)	O	_


#Les concentrations en polluants des eaux souterraines présentent une stabilité relative, sans sens d'évolution net, des concentrations sur les six points de prélèvement depuis avril 2009.
1	Les	le	O	_
2	concentrations	concentration	O	_
3	en	en	O	_
4	polluants	polluant	O	_
5	des	de	O	_
6	eaux	eau	O	_
7	souterraines	souterrain	O	_
8	présentent	présenter	O	_
9	une	un	O	_
10	stabilité	stabilité	O	_
11	relative	relatif	O	_
12	,	,	O	_
13	sans	sans	O	_
14	sens	sens	O	_
15	d'	de	O	_
16	évolution	évolution	O	_
17	net	net	O	_
18	,	,	O	_
19	des	de	O	_
20	concentrations	concentration	O	_
21	sur	sur	O	_
22	les	le	O	_
23	six	six	O	_
24	points	point	O	_
25	de	de	O	_
26	prélèvement	prélèvement	O	_
27	depuis	depuis	BT	_
28	avril	avril	IT	_
29	2009	2009	ET	_
30	.	.	ET	_


#67.0089
#Usine de fabrication de cassette vidéo et audio.
1	Usine	usine	BA	_
2	de	de	IA	_
3	fabrication	fabrication	IA	_
4	de	de	IA	_
5	cassette	cassette	IA	_
6	vidéo	vidéo	IA	_
7	et	et	IA	_
8	audio	audio	EA	_
9	.	.	O	_


#En application de l'AP d'autorisation du 02/08/2000, la société EMTEC MAGNETICS FRANCE a fait réaliser une étude hydrogéologique à l'endroit de son site de production à OBENHEIM.
1	En	en	BR	_
2	application	application	EN	_
3	de	de	O	_
4	l'	le	O	_
5	AP	ap	O	_
6	d'	de	BO	_
7	autorisation	autorisation	EO	_
8	du	de	BT	_
9	02/08/2000	02/08/2000	ET	_
10	,	,	O	_
11	la	le	BO	_
12	société	société	IO	_
13	EMTEC	EMTEC	BO	_
14	MAGNETICS	MAGNETICS	EO	_
15	FRANCE	FRANCE	EO	_
16	a	avoir	BN	_
17	fait	faire	EN	_
18	réaliser	réaliser	EN	_
19	une	un	BN	_
20	étude	étude	IN	_
21	hydrogéologique	hydrogéologique	EN	_
22	à	à	BL	_
23	l'	le	EN	_
24	endroit	endroit	EN	_
25	de	de	ER	_
26	son	son	BO	_
27	site	site	IO	_
28	de	de	IO	_
29	production	production	EO	_
30	à	à	BL	_
31	OBENHEIM	OBENHEIM	EL	_
32	.	.	O	_


#Cette étude a mis en évidence la pollution de la nappe aux Hydrocarbures (0.24 mg/l).
1	Cette	ce	O	_
2	étude	étude	O	_
3	a	avoir	O	_
4	mis	mettre	O	_
5	en	en	O	_
